date,end_of_day,highest,lowest
2009-01-28,14193,14193,14193
2009-01-27,14072,14122,14072
2009-01-26,14122,14122,14122
2009-01-25,14122,14122,14122
2009-01-24,14122,14122,13513
2009-01-23,13513,13575,13427
2009-01-22,13460,13600,13435
2009-01-21,13493,13537,13097
2009-01-20,13097,13097,13051
2009-01-19,13097,13167,13097
2009-01-18,13166,13166,12992
2009-01-17,12992,12992,12884
2009-01-16,12884,12884,12769
2009-01-14,12921,12921,12921
2009-01-13,12921,13293,12921
2009-01-12,13280,13328,13280
2009-01-11,13328,13350,13328
2009-01-10,13350,13444,13257
2009-01-09,13444,13504,13241
2009-01-08,13260,13484,13213
2009-01-07,13319,13335,13164
2009-01-06,13288,13497,13228
2009-01-05,13463,13541,13463
2009-01-04,13541,13541,13541
2009-01-02,13664,13664,13664
2009-01-01,13670,13670,13438
2009-02-28,15464,15768,15248
2009-02-27,15248,15290,15180
2009-02-26,15290,15545,15277
2009-02-25,15432,15860,15432
2009-02-24,15804,15888,15804
2009-02-23,15842,15864,15842
2009-02-22,15864,15864,15864
2009-02-21,15864,15953,15500
2009-02-20,15500,15683,15455
2009-02-19,15683,15683,15468
2009-02-18,15503,15503,15000
2009-02-17,15000,15000,14602
2009-02-16,14602,14629,14602
2009-02-15,14628,14628,14628
2009-03-31,15171,15299,15153
2009-03-30,15153,15153,15103
2009-03-29,15103,15103,15103
2009-03-28,15103,15219,15103
2009-03-27,15183,15265,15178
2009-03-26,15226,15226,15047
2009-03-25,15190,15425,15060
2009-03-24,15425,15496,15410
2009-03-23,15435,15519,15435
2009-03-22,15519,15519,15519
2009-03-21,15519,15560,15423
2009-03-20,15389,15418,14752
2009-03-19,14752,15033,14726
2009-03-18,15145,15211,15129
2009-03-17,15182,15336,15132
2009-03-16,15336,15336,15318
2009-03-15,15318,15402,15318
2009-03-14,15402,15402,15294
2009-03-13,15294,15303,15184
2009-03-12,15117,15196,15117
2009-03-11,15196,15291,15196
2009-03-10,15291,15643,15267
2009-03-09,15520,15553,15520
2009-03-08,15553,15553,15553
2009-03-07,15553,15581,15513
2009-03-06,15538,15538,14991
2009-03-05,14991,15252,14991
2009-03-04,15252,15440,15237
2009-03-03,15402,15852,15402
2009-03-02,15812,15812,15504
2009-03-01,15504,15504,15464
2009-04-30,14503,14503,14466
2009-04-29,14466,14585,14466
2009-04-28,14710,14770,14710
2009-04-27,14624,14624,14624
2009-04-26,14624,14626,14624
2009-04-25,14626,14690,14590
2009-04-24,14690,14690,14411
2009-04-23,14464,14464,14311
2009-04-22,14311,14443,14293
2009-04-21,14402,14424,14023
2009-04-20,14023,14031,14018
2009-04-19,14018,14018,14018
2009-04-18,14018,14048,13961
2009-04-17,14140,14282,14130
2009-04-16,14282,14376,14282
2009-04-15,14376,14376,14326
2009-04-14,14376,14376,14262
2009-04-13,14262,14262,14202
2009-04-12,14202,14202,14190
